category,value,count,ssim_mean,ssim_std,psnr_mean,lpips_mean
brightness,day,158,0.6702,0.1368,20.85,0.1047
brightness,night,51,0.5889,0.1291,19.24,0.1607
brightness,overexposed,119,0.6699,0.1479,18.44,0.1335
brightness,twilight,172,0.6549,0.1331,19.99,0.1211
color_temp,cool_artificial,109,0.6752,0.1392,19.8,0.1131
color_temp,natural,106,0.6266,0.1294,19.13,0.126
color_temp,warm_artificial,285,0.6606,0.1417,20.07,0.1255
saturation,high,128,0.6329,0.1492,19.44,0.1507
saturation,low,96,0.6667,0.1347,19.0,0.1212
saturation,medium,276,0.664,0.1353,20.27,0.1106
